Epoch 1 - Train Loss: 7.7003 (vdw: 1.3684, elec: 1.4186, solv: 1.0669, hbond: 1.2661, affinity: 1.9118, rank: 0.6695) | Validation Loss: 5.8465 (vdw: 1.6841, elec: 1.4220, solv: 0.6067, hbond: 1.0707, affinity: 0.3909, rank: 0.6724) | LR: 1.0e-03
Epoch 2 - Train Loss: 5.2874 (vdw: 1.2056, elec: 1.1896, solv: 0.4419, hbond: 1.4253, affinity: 0.3649, rank: 0.6604) | Validation Loss: 5.7313 (vdw: 1.7000, elec: 1.4004, solv: 0.3512, hbond: 1.2402, affinity: 0.3347, rank: 0.7042) | LR: 1.0e-03
Epoch 3 - Train Loss: 4.6820 (vdw: 1.1253, elec: 1.1264, solv: 0.2880, hbond: 1.1736, affinity: 0.2906, rank: 0.6786) | Validation Loss: 5.4096 (vdw: 1.5551, elec: 1.3172, solv: 0.2730, hbond: 1.2755, affinity: 0.2818, rank: 0.7059) | LR: 1.0e-03
Epoch 4 - Train Loss: 4.5827 (vdw: 1.1651, elec: 1.1347, solv: 0.2465, hbond: 1.1569, affinity: 0.2775, rank: 0.6023) | Validation Loss: 5.1523 (vdw: 1.5314, elec: 1.3288, solv: 0.2514, hbond: 1.1372, affinity: 0.2384, rank: 0.6652) | LR: 1.0e-03
Epoch 5 - Train Loss: 4.9020 (vdw: 1.2688, elec: 1.1684, solv: 0.2458, hbond: 1.2943, affinity: 0.3194, rank: 0.6053) | Validation Loss: 5.6163 (vdw: 1.6589, elec: 1.3623, solv: 0.2279, hbond: 1.3521, affinity: 0.3051, rank: 0.7109) | LR: 1.0e-03
Epoch 6 - Train Loss: 4.7516 (vdw: 1.1994, elec: 1.1486, solv: 0.2148, hbond: 1.3790, affinity: 0.2237, rank: 0.5865) | Validation Loss: 5.2771 (vdw: 1.5827, elec: 1.3422, solv: 0.2107, hbond: 1.1521, affinity: 0.2660, rank: 0.7238) | LR: 1.0e-03
Epoch 7 - Train Loss: 4.4374 (vdw: 1.0285, elec: 1.0448, solv: 0.1889, hbond: 1.3149, affinity: 0.2386, rank: 0.6214) | Validation Loss: 5.1862 (vdw: 1.5594, elec: 1.3398, solv: 0.1917, hbond: 1.1840, affinity: 0.2487, rank: 0.6624) | LR: 1.0e-03
Epoch 8 - Train Loss: 4.2970 (vdw: 1.0756, elec: 1.0690, solv: 0.1709, hbond: 1.1287, affinity: 0.2701, rank: 0.5833) | Validation Loss: 5.3010 (vdw: 1.5614, elec: 1.3044, solv: 0.1846, hbond: 1.2987, affinity: 0.2599, rank: 0.6925) | LR: 1.0e-03
Epoch 9 - Train Loss: 4.6277 (vdw: 1.3075, elec: 1.2102, solv: 0.1855, hbond: 1.1152, affinity: 0.2479, rank: 0.5621) | Validation Loss: 5.2539 (vdw: 1.5988, elec: 1.3446, solv: 0.1821, hbond: 1.1351, affinity: 0.2888, rank: 0.7048) | LR: 1.0e-03
Epoch 10 - Train Loss: 4.4974 (vdw: 1.1826, elec: 1.1603, solv: 0.1936, hbond: 1.1381, affinity: 0.2927, rank: 0.5303) | Validation Loss: 5.3656 (vdw: 1.5364, elec: 1.3425, solv: 0.3053, hbond: 1.2009, affinity: 0.2771, rank: 0.7040) | LR: 5.0e-04
Epoch 11 - Train Loss: 4.4680 (vdw: 0.9839, elec: 1.0199, solv: 0.1970, hbond: 1.4696, affinity: 0.2329, rank: 0.5646) | Validation Loss: 5.1663 (vdw: 1.5711, elec: 1.3250, solv: 0.1712, hbond: 1.1525, affinity: 0.2554, rank: 0.6911) | LR: 5.0e-04
Epoch 12 - Train Loss: 4.5224 (vdw: 1.0583, elec: 1.0862, solv: 0.1659, hbond: 1.4039, affinity: 0.2534, rank: 0.5547) | Validation Loss: 4.9957 (vdw: 1.4736, elec: 1.2852, solv: 0.1694, hbond: 1.1350, affinity: 0.2469, rank: 0.6855) | LR: 5.0e-04
Epoch 13 - Train Loss: 4.3696 (vdw: 1.2204, elec: 1.1290, solv: 0.1624, hbond: 1.0469, affinity: 0.2202, rank: 0.5907) | Validation Loss: 4.9650 (vdw: 1.5198, elec: 1.3006, solv: 0.1674, hbond: 1.0303, affinity: 0.2556, rank: 0.6920) | LR: 5.0e-04
Epoch 14 - Train Loss: 4.7802 (vdw: 1.2464, elec: 1.2335, solv: 0.1852, hbond: 1.3145, affinity: 0.2637, rank: 0.5363) | Validation Loss: 5.1894 (vdw: 1.5047, elec: 1.2913, solv: 0.1679, hbond: 1.1769, affinity: 0.3182, rank: 0.7302) | LR: 5.0e-04
Epoch 15 - Train Loss: 4.2209 (vdw: 0.9697, elec: 0.9845, solv: 0.1572, hbond: 1.3364, affinity: 0.2400, rank: 0.5323) | Validation Loss: 5.0401 (vdw: 1.5149, elec: 1.3118, solv: 0.1742, hbond: 1.0437, affinity: 0.2719, rank: 0.7243) | LR: 5.0e-04
Epoch 16 - Train Loss: 4.7931 (vdw: 1.2111, elec: 1.1584, solv: 0.1811, hbond: 1.4403, affinity: 0.2572, rank: 0.5454) | Validation Loss: 5.2569 (vdw: 1.4633, elec: 1.2862, solv: 0.1639, hbond: 1.3111, affinity: 0.2826, rank: 0.7492) | LR: 5.0e-04
Epoch 17 - Train Loss: 4.3452 (vdw: 1.2859, elec: 1.1898, solv: 0.1665, hbond: 1.0011, affinity: 0.1874, rank: 0.5138) | Validation Loss: 5.1739 (vdw: 1.4137, elec: 1.2902, solv: 0.1637, hbond: 1.2925, affinity: 0.3062, rank: 0.7065) | LR: 5.0e-04
Epoch 18 - Train Loss: 4.4667 (vdw: 1.1496, elec: 1.1314, solv: 0.1639, hbond: 1.2942, affinity: 0.2721, rank: 0.4550) | Validation Loss: 5.1616 (vdw: 1.4617, elec: 1.2917, solv: 0.1581, hbond: 1.2664, affinity: 0.2699, rank: 0.7134) | LR: 5.0e-04
Epoch 19 - Train Loss: 4.0825 (vdw: 1.1006, elec: 1.0968, solv: 0.1564, hbond: 0.9810, affinity: 0.2875, rank: 0.4595) | Validation Loss: 5.2205 (vdw: 1.4844, elec: 1.2830, solv: 0.1672, hbond: 1.3025, affinity: 0.2670, rank: 0.7157) | LR: 2.5e-04
Epoch 20 - Train Loss: 4.2146 (vdw: 1.1527, elec: 1.0874, solv: 0.1568, hbond: 1.1069, affinity: 0.2247, rank: 0.4863) | Validation Loss: 5.0889 (vdw: 1.5420, elec: 1.2939, solv: 0.1608, hbond: 1.1056, affinity: 0.2704, rank: 0.7160) | LR: 2.5e-04
Epoch 21 - Train Loss: 4.4481 (vdw: 1.0936, elec: 1.1071, solv: 0.1605, hbond: 1.2617, affinity: 0.2154, rank: 0.6090) | Validation Loss: 5.1286 (vdw: 1.5346, elec: 1.2972, solv: 0.1599, hbond: 1.2200, affinity: 0.2499, rank: 0.6677) | LR: 2.5e-04
Epoch 22 - Train Loss: 4.2134 (vdw: 1.1123, elec: 1.1367, solv: 0.1662, hbond: 1.1955, affinity: 0.1742, rank: 0.4283) | Validation Loss: 5.2558 (vdw: 1.5900, elec: 1.3370, solv: 0.1617, hbond: 1.1426, affinity: 0.2718, rank: 0.7539) | LR: 2.5e-04
Epoch 23 - Train Loss: 4.5975 (vdw: 1.2923, elec: 1.2583, solv: 0.1770, hbond: 1.2476, affinity: 0.1904, rank: 0.4319) | Validation Loss: 5.0726 (vdw: 1.5129, elec: 1.3142, solv: 0.1595, hbond: 1.1385, affinity: 0.2504, rank: 0.6978) | LR: 2.5e-04
Epoch 24 - Train Loss: 4.7825 (vdw: 1.3876, elec: 1.3248, solv: 0.1720, hbond: 1.2744, affinity: 0.1601, rank: 0.4636) | Validation Loss: 4.8716 (vdw: 1.4347, elec: 1.2707, solv: 0.1554, hbond: 1.0867, affinity: 0.2515, rank: 0.6719) | LR: 2.5e-04
Epoch 25 - Train Loss: 4.3295 (vdw: 1.2247, elec: 1.1457, solv: 0.1573, hbond: 1.2228, affinity: 0.1502, rank: 0.4289) | Validation Loss: 5.0390 (vdw: 1.5284, elec: 1.2975, solv: 0.1602, hbond: 1.1974, affinity: 0.2259, rank: 0.6292) | LR: 2.5e-04
Epoch 26 - Train Loss: 4.4372 (vdw: 1.2903, elec: 1.1904, solv: 0.1721, hbond: 1.1985, affinity: 0.1575, rank: 0.4285) | Validation Loss: 4.9576 (vdw: 1.5560, elec: 1.3136, solv: 0.1557, hbond: 1.0221, affinity: 0.2504, rank: 0.6604) | LR: 2.5e-04
Epoch 27 - Train Loss: 4.2690 (vdw: 0.9769, elec: 1.0029, solv: 0.1587, hbond: 1.4288, affinity: 0.2329, rank: 0.4693) | Validation Loss: 5.0047 (vdw: 1.5193, elec: 1.2958, solv: 0.1568, hbond: 1.1254, affinity: 0.2415, rank: 0.6666) | LR: 2.5e-04
Epoch 28 - Train Loss: 3.9711 (vdw: 1.2069, elec: 1.1103, solv: 0.1529, hbond: 0.9654, affinity: 0.1387, rank: 0.3969) | Validation Loss: 5.2655 (vdw: 1.5927, elec: 1.3182, solv: 0.1565, hbond: 1.2757, affinity: 0.2619, rank: 0.6610) | LR: 2.5e-04
Epoch 29 - Train Loss: 4.1344 (vdw: 1.1301, elec: 1.1131, solv: 0.1617, hbond: 1.1004, affinity: 0.1971, rank: 0.4320) | Validation Loss: 5.1619 (vdw: 1.5370, elec: 1.3088, solv: 0.1587, hbond: 1.2419, affinity: 0.2393, rank: 0.6763) | LR: 2.5e-04
