Epoch 1 - Train Loss: 4.1061 (vdw: 1.2520, elec: 1.2296, solv: 0.5173, hbond: 1.1072) | Validation Loss: 4.5131 (vdw: 1.1546, elec: 1.2721, solv: 0.3441, hbond: 1.7423) | LR: 1.0e-03
Epoch 2 - Train Loss: 3.7517 (vdw: 1.0818, elec: 1.0597, solv: 0.2381, hbond: 1.3721) | Validation Loss: 5.6871 (vdw: 1.5210, elec: 1.3494, solv: 0.2845, hbond: 2.5323) | LR: 1.0e-03
Epoch 3 - Train Loss: 3.9416 (vdw: 1.1634, elec: 1.1334, solv: 0.1911, hbond: 1.4538) | Validation Loss: 5.2847 (vdw: 2.0371, elec: 1.4006, solv: 0.1826, hbond: 1.6643) | LR: 1.0e-03
Epoch 4 - Train Loss: 3.8224 (vdw: 1.0723, elec: 1.0848, solv: 0.1677, hbond: 1.4976) | Validation Loss: 4.9434 (vdw: 1.9227, elec: 1.4087, solv: 0.1661, hbond: 1.4459) | LR: 1.0e-03
Epoch 5 - Train Loss: 3.8631 (vdw: 1.1842, elec: 1.1380, solv: 0.1507, hbond: 1.3901) | Validation Loss: 4.1867 (vdw: 1.7714, elec: 1.3823, solv: 0.1584, hbond: 0.8746) | LR: 1.0e-03
Epoch 6 - Train Loss: 3.5682 (vdw: 1.1433, elec: 1.1052, solv: 0.1579, hbond: 1.1618) | Validation Loss: 5.0146 (vdw: 1.6055, elec: 1.3277, solv: 0.1515, hbond: 1.9299) | LR: 1.0e-03
Epoch 7 - Train Loss: 3.4250 (vdw: 1.1949, elec: 1.1301, solv: 0.1392, hbond: 0.9608) | Validation Loss: 3.6740 (vdw: 1.5691, elec: 1.3311, solv: 0.1468, hbond: 0.6270) | LR: 1.0e-03
Epoch 8 - Train Loss: 3.3779 (vdw: 1.1368, elec: 1.1431, solv: 0.1322, hbond: 0.9658) | Validation Loss: 4.7128 (vdw: 1.6476, elec: 1.3487, solv: 0.1355, hbond: 1.5809) | LR: 1.0e-03
Epoch 9 - Train Loss: 3.5774 (vdw: 1.0931, elec: 1.0873, solv: 0.1363, hbond: 1.2607) | Validation Loss: 3.7067 (vdw: 1.4985, elec: 1.2989, solv: 0.1427, hbond: 0.7666) | LR: 1.0e-03
Epoch 10 - Train Loss: 3.7282 (vdw: 1.2296, elec: 1.2311, solv: 0.1347, hbond: 1.1327) | Validation Loss: 3.6816 (vdw: 1.4871, elec: 1.2311, solv: 0.1345, hbond: 0.8289) | LR: 1.0e-03
Epoch 11 - Train Loss: 3.5334 (vdw: 1.0550, elec: 1.0693, solv: 0.1222, hbond: 1.2869) | Validation Loss: 4.7199 (vdw: 1.5236, elec: 1.3691, solv: 0.1338, hbond: 1.6933) | LR: 1.0e-03
