Epoch 1 - Train Loss: 1.2867 (vdw: 0.3438, elec: 0.2821, solv: 0.3026, hbond: 0.3517, inactive: 0.0066) | Validation Loss: 1.1654 (vdw: 0.3368, elec: 0.2749, solv: 0.2981, hbond: 0.2471, inactive: 0.0085) | LR: 1.0e-03
Epoch 2 - Train Loss: 1.1767 (vdw: 0.3251, elec: 0.2678, solv: 0.2788, hbond: 0.2976, inactive: 0.0074) | Validation Loss: 1.2955 (vdw: 0.3494, elec: 0.2795, solv: 0.2726, hbond: 0.3872, inactive: 0.0068) | LR: 1.0e-03
Epoch 3 - Train Loss: 1.1792 (vdw: 0.3391, elec: 0.2699, solv: 0.2508, hbond: 0.3125, inactive: 0.0068) | Validation Loss: 1.1148 (vdw: 0.3384, elec: 0.2890, solv: 0.2548, hbond: 0.2264, inactive: 0.0063) | LR: 1.0e-03
Epoch 4 - Train Loss: 1.1358 (vdw: 0.3220, elec: 0.2621, solv: 0.2296, hbond: 0.3142, inactive: 0.0079) | Validation Loss: 1.1120 (vdw: 0.3319, elec: 0.2715, solv: 0.2352, hbond: 0.2652, inactive: 0.0082) | LR: 1.0e-03
Epoch 5 - Train Loss: 1.1263 (vdw: 0.3372, elec: 0.2807, solv: 0.2008, hbond: 0.3025, inactive: 0.0051) | Validation Loss: 1.0496 (vdw: 0.3479, elec: 0.2740, solv: 0.1965, hbond: 0.2275, inactive: 0.0038) | LR: 1.0e-03
Epoch 6 - Train Loss: 1.1985 (vdw: 0.3339, elec: 0.2788, solv: 0.1698, hbond: 0.4116, inactive: 0.0044) | Validation Loss: 1.0852 (vdw: 0.3466, elec: 0.2808, solv: 0.1749, hbond: 0.2784, inactive: 0.0045) | LR: 1.0e-03
Epoch 7 - Train Loss: 1.0624 (vdw: 0.3390, elec: 0.2925, solv: 0.1456, hbond: 0.2813, inactive: 0.0040) | Validation Loss: 1.0198 (vdw: 0.3388, elec: 0.2616, solv: 0.1614, hbond: 0.2542, inactive: 0.0039) | LR: 1.0e-03
Epoch 8 - Train Loss: 1.0300 (vdw: 0.3283, elec: 0.2718, solv: 0.1326, hbond: 0.2938, inactive: 0.0036) | Validation Loss: 1.1176 (vdw: 0.3266, elec: 0.2660, solv: 0.1233, hbond: 0.3975, inactive: 0.0042) | LR: 1.0e-03
Epoch 9 - Train Loss: 1.0710 (vdw: 0.3350, elec: 0.2760, solv: 0.1335, hbond: 0.3228, inactive: 0.0037) | Validation Loss: 1.0490 (vdw: 0.3521, elec: 0.2951, solv: 0.1290, hbond: 0.2693, inactive: 0.0035) | LR: 1.0e-03
Epoch 10 - Train Loss: 1.0151 (vdw: 0.3337, elec: 0.2697, solv: 0.1112, hbond: 0.2967, inactive: 0.0038) | Validation Loss: 1.0059 (vdw: 0.3537, elec: 0.2945, solv: 0.1128, hbond: 0.2406, inactive: 0.0042) | LR: 1.0e-03
Epoch 11 - Train Loss: 0.9935 (vdw: 0.3350, elec: 0.2617, solv: 0.1034, hbond: 0.2906, inactive: 0.0028) | Validation Loss: 0.9367 (vdw: 0.3280, elec: 0.2568, solv: 0.1024, hbond: 0.2465, inactive: 0.0030) | LR: 1.0e-03
