Epoch 1 - Train Loss: 4.1220 (vdw: 0.2761, elec: 0.2397, solv: 0.0619, hbond: 0.4246, inactive: 0.0015, affinity: 0.8301, rank: 2.2880) | Validation Loss: 2.3176 (vdw: 0.2815, elec: 0.2474, solv: 0.0579, hbond: 0.4132, inactive: 0.0019, affinity: 0.2005, rank: 1.1153) | LR: 1.0e-03
Epoch 2 - Train Loss: 2.3385 (vdw: 0.2900, elec: 0.2666, solv: 0.0601, hbond: 0.3875, inactive: 0.0016, affinity: 0.2772, rank: 1.0556) | Validation Loss: 2.1687 (vdw: 0.2813, elec: 0.2454, solv: 0.0536, hbond: 0.4091, inactive: 0.0012, affinity: 0.5357, rank: 0.6423) | LR: 1.0e-03
Epoch 3 - Train Loss: 2.6307 (vdw: 0.2987, elec: 0.2728, solv: 0.0746, hbond: 0.3705, inactive: 0.0016, affinity: 0.2684, rank: 1.3440) | Validation Loss: 2.4593 (vdw: 0.2821, elec: 0.2465, solv: 0.0697, hbond: 0.4150, inactive: 0.0025, affinity: 0.5727, rank: 0.8707) | LR: 1.0e-03
Epoch 4 - Train Loss: 1.9786 (vdw: 0.2940, elec: 0.2584, solv: 0.0768, hbond: 0.3812, inactive: 0.0020, affinity: 0.1352, rank: 0.8310) | Validation Loss: 2.6830 (vdw: 0.2817, elec: 0.2457, solv: 0.0552, hbond: 0.4086, inactive: 0.0020, affinity: 0.6707, rank: 1.0192) | LR: 1.0e-03
Epoch 5 - Train Loss: 2.0052 (vdw: 0.2948, elec: 0.2688, solv: 0.0518, hbond: 0.3765, inactive: 0.0015, affinity: 0.1445, rank: 0.8673) | Validation Loss: 2.5815 (vdw: 0.2816, elec: 0.2463, solv: 0.0481, hbond: 0.4126, inactive: 0.0014, affinity: 0.7156, rank: 0.8760) | LR: 1.0e-03
Epoch 6 - Train Loss: 2.0265 (vdw: 0.2717, elec: 0.2349, solv: 0.0498, hbond: 0.3647, inactive: 0.0015, affinity: 0.2186, rank: 0.8852) | Validation Loss: 3.2640 (vdw: 0.2816, elec: 0.2453, solv: 0.0648, hbond: 0.4101, inactive: 0.0015, affinity: 0.8670, rank: 1.3936) | LR: 1.0e-03
Epoch 7 - Train Loss: 1.9467 (vdw: 0.2818, elec: 0.2599, solv: 0.0560, hbond: 0.4026, inactive: 0.0015, affinity: 0.1601, rank: 0.7847) | Validation Loss: 2.5453 (vdw: 0.2816, elec: 0.2462, solv: 0.0491, hbond: 0.4104, inactive: 0.0013, affinity: 0.6911, rank: 0.8655) | LR: 1.0e-03
Epoch 8 - Train Loss: 2.0824 (vdw: 0.2775, elec: 0.2400, solv: 0.0516, hbond: 0.3798, inactive: 0.0014, affinity: 0.1935, rank: 0.9386) | Validation Loss: 2.9875 (vdw: 0.2815, elec: 0.2455, solv: 0.0466, hbond: 0.4119, inactive: 0.0012, affinity: 0.7763, rank: 1.2244) | LR: 5.0e-04
Epoch 9 - Train Loss: 1.9567 (vdw: 0.2980, elec: 0.2612, solv: 0.0451, hbond: 0.3813, inactive: 0.0012, affinity: 0.1308, rank: 0.8392) | Validation Loss: 3.0752 (vdw: 0.2814, elec: 0.2449, solv: 0.0447, hbond: 0.4064, inactive: 0.0014, affinity: 0.8125, rank: 1.2838) | LR: 5.0e-04
Epoch 10 - Train Loss: 1.9653 (vdw: 0.2996, elec: 0.2635, solv: 0.0428, hbond: 0.3825, inactive: 0.0012, affinity: 0.1411, rank: 0.8345) | Validation Loss: 3.0987 (vdw: 0.2815, elec: 0.2456, solv: 0.0436, hbond: 0.4054, inactive: 0.0012, affinity: 0.8400, rank: 1.2813) | LR: 5.0e-04
Epoch 11 - Train Loss: 2.0595 (vdw: 0.2880, elec: 0.2506, solv: 0.0414, hbond: 0.3674, inactive: 0.0012, affinity: 0.1767, rank: 0.9342) | Validation Loss: 3.2892 (vdw: 0.2813, elec: 0.2449, solv: 0.0461, hbond: 0.4102, inactive: 0.0011, affinity: 0.8909, rank: 1.4146) | LR: 5.0e-04
