Epoch 1 - Train Loss: 3.5741 (vdw: 0.3090, elec: 0.2743, solv: 0.3101, hbond: 0.5413, inactive: 0.0027, affinity: 0.6542, rank: 1.4824) | Validation Loss: 2.3386 (vdw: 0.2954, elec: 0.2591, solv: 0.1876, hbond: 0.4586, inactive: 0.0051, affinity: 0.4900, rank: 0.6428) | LR (scaffold): 5.0e-04
Epoch 2 - Train Loss: 2.3811 (vdw: 0.2886, elec: 0.2678, solv: 0.1621, hbond: 0.4089, inactive: 0.0057, affinity: 0.4101, rank: 0.8379) | Validation Loss: 2.2946 (vdw: 0.2920, elec: 0.2543, solv: 0.1229, hbond: 0.4671, inactive: 0.0038, affinity: 0.4056, rank: 0.7489) | LR (scaffold): 1.0e-03
Epoch 3 - Train Loss: 2.2605 (vdw: 0.2982, elec: 0.2611, solv: 0.0983, hbond: 0.4123, inactive: 0.0047, affinity: 0.3582, rank: 0.8277) | Validation Loss: 2.3233 (vdw: 0.2902, elec: 0.2535, solv: 0.1044, hbond: 0.4729, inactive: 0.0054, affinity: 0.6034, rank: 0.5936) | LR (scaffold): 1.0e-03
Epoch 4 - Train Loss: 2.1794 (vdw: 0.2903, elec: 0.2504, solv: 0.0779, hbond: 0.3829, inactive: 0.0042, affinity: 0.4387, rank: 0.7350) | Validation Loss: 2.2979 (vdw: 0.2891, elec: 0.2520, solv: 0.0621, hbond: 0.4422, inactive: 0.0049, affinity: 0.6503, rank: 0.5972) | LR (scaffold): 1.0e-03
Epoch 5 - Train Loss: 2.2494 (vdw: 0.2903, elec: 0.2564, solv: 0.0614, hbond: 0.4506, inactive: 0.0033, affinity: 0.4180, rank: 0.7693) | Validation Loss: 2.4385 (vdw: 0.2885, elec: 0.2545, solv: 0.0624, hbond: 0.5278, inactive: 0.0043, affinity: 0.6926, rank: 0.6084) | LR (scaffold): 1.0e-03
Epoch 6 - Train Loss: 2.2479 (vdw: 0.2906, elec: 0.2601, solv: 0.0597, hbond: 0.4301, inactive: 0.0031, affinity: 0.4413, rank: 0.7629) | Validation Loss: 2.2440 (vdw: 0.2883, elec: 0.2514, solv: 0.0579, hbond: 0.4369, inactive: 0.0023, affinity: 0.6122, rank: 0.5951) | LR (scaffold): 1.0e-03
Epoch 7 - Train Loss: 2.1742 (vdw: 0.2820, elec: 0.2540, solv: 0.0568, hbond: 0.4329, inactive: 0.0024, affinity: 0.3570, rank: 0.7891) | Validation Loss: 2.2373 (vdw: 0.2886, elec: 0.2511, solv: 0.0631, hbond: 0.4488, inactive: 0.0045, affinity: 0.5592, rank: 0.6219) | LR (scaffold): 1.0e-03
Epoch 8 - Train Loss: 2.1005 (vdw: 0.2915, elec: 0.2542, solv: 0.0586, hbond: 0.3464, inactive: 0.0034, affinity: 0.4368, rank: 0.7097) | Validation Loss: 2.2597 (vdw: 0.2883, elec: 0.2514, solv: 0.0561, hbond: 0.4291, inactive: 0.0018, affinity: 0.6381, rank: 0.5950) | LR (scaffold): 1.0e-03
Epoch 9 - Train Loss: 2.1636 (vdw: 0.2811, elec: 0.2409, solv: 0.0542, hbond: 0.3778, inactive: 0.0024, affinity: 0.3788, rank: 0.8284) | Validation Loss: 2.3007 (vdw: 0.2879, elec: 0.2512, solv: 0.0603, hbond: 0.5093, inactive: 0.0039, affinity: 0.4788, rank: 0.7091) | LR (scaffold): 1.0e-03
Epoch 10 - Train Loss: 2.3886 (vdw: 0.2990, elec: 0.2675, solv: 0.0584, hbond: 0.4593, inactive: 0.0027, affinity: 0.3360, rank: 0.9656) | Validation Loss: 2.2287 (vdw: 0.2878, elec: 0.2510, solv: 0.0953, hbond: 0.4264, inactive: 0.0027, affinity: 0.3954, rank: 0.7703) | LR (scaffold): 1.0e-03
Epoch 11 - Train Loss: 2.2233 (vdw: 0.2769, elec: 0.2424, solv: 0.0793, hbond: 0.4096, inactive: 0.0029, affinity: 0.3719, rank: 0.8402) | Validation Loss: 2.2565 (vdw: 0.2880, elec: 0.2513, solv: 0.0715, hbond: 0.4976, inactive: 0.0014, affinity: 0.5119, rank: 0.6347) | LR (scaffold): 1.0e-03
