Epoch 1 - Train Loss: 1.6024 (vdw: 0.2771, elec: 0.2459, solv: 0.0443, hbond: 0.3843, inactive: 0.0011, affinity: 0.0660, rank: 0.5838) | Validation Loss: 2.1618 (vdw: 0.2865, elec: 0.2496, solv: 0.0449, hbond: 0.4189, inactive: 0.0010, affinity: 0.1926, rank: 0.9683) | LR: 1.0e-04
Epoch 2 - Train Loss: 1.5815 (vdw: 0.2942, elec: 0.2555, solv: 0.0436, hbond: 0.3725, inactive: 0.0011, affinity: 0.0694, rank: 0.5452) | Validation Loss: 2.1232 (vdw: 0.2866, elec: 0.2498, solv: 0.0455, hbond: 0.4192, inactive: 0.0011, affinity: 0.2082, rank: 0.9128) | LR: 1.0e-04
Epoch 3 - Train Loss: 1.6001 (vdw: 0.2818, elec: 0.2475, solv: 0.0432, hbond: 0.3883, inactive: 0.0011, affinity: 0.0838, rank: 0.5544) | Validation Loss: 2.1772 (vdw: 0.2866, elec: 0.2498, solv: 0.0457, hbond: 0.4210, inactive: 0.0012, affinity: 0.1848, rank: 0.9881) | LR: 1.0e-04
Epoch 4 - Train Loss: 1.7809 (vdw: 0.3100, elec: 0.2770, solv: 0.0458, hbond: 0.4027, inactive: 0.0011, affinity: 0.0830, rank: 0.6613) | Validation Loss: 2.1326 (vdw: 0.2866, elec: 0.2495, solv: 0.0458, hbond: 0.4230, inactive: 0.0009, affinity: 0.2003, rank: 0.9264) | LR: 1.0e-04
Epoch 5 - Train Loss: 1.5821 (vdw: 0.2887, elec: 0.2579, solv: 0.0442, hbond: 0.3819, inactive: 0.0010, affinity: 0.0698, rank: 0.5386) | Validation Loss: 2.1380 (vdw: 0.2865, elec: 0.2496, solv: 0.0452, hbond: 0.4244, inactive: 0.0012, affinity: 0.2142, rank: 0.9170) | LR: 1.0e-04
Epoch 6 - Train Loss: 1.5264 (vdw: 0.2746, elec: 0.2413, solv: 0.0431, hbond: 0.3683, inactive: 0.0011, affinity: 0.0574, rank: 0.5405) | Validation Loss: 2.2160 (vdw: 0.2865, elec: 0.2495, solv: 0.0453, hbond: 0.4221, inactive: 0.0010, affinity: 0.2096, rank: 1.0021) | LR: 1.0e-04
Epoch 7 - Train Loss: 1.6722 (vdw: 0.2905, elec: 0.2760, solv: 0.0437, hbond: 0.3914, inactive: 0.0010, affinity: 0.0723, rank: 0.5974) | Validation Loss: 2.2545 (vdw: 0.2867, elec: 0.2503, solv: 0.0466, hbond: 0.4346, inactive: 0.0008, affinity: 0.2233, rank: 1.0122) | LR: 1.0e-04
Epoch 8 - Train Loss: 1.6826 (vdw: 0.2814, elec: 0.2412, solv: 0.0440, hbond: 0.4088, inactive: 0.0010, affinity: 0.0747, rank: 0.6316) | Validation Loss: 2.1086 (vdw: 0.2866, elec: 0.2496, solv: 0.0460, hbond: 0.4203, inactive: 0.0010, affinity: 0.2215, rank: 0.8835) | LR: 1.0e-04
Epoch 9 - Train Loss: 1.5369 (vdw: 0.2919, elec: 0.2526, solv: 0.0441, hbond: 0.3803, inactive: 0.0010, affinity: 0.0632, rank: 0.5039) | Validation Loss: 2.1758 (vdw: 0.2865, elec: 0.2496, solv: 0.0454, hbond: 0.4261, inactive: 0.0009, affinity: 0.2017, rank: 0.9655) | LR: 1.0e-04
Epoch 10 - Train Loss: 1.7715 (vdw: 0.3045, elec: 0.2666, solv: 0.0432, hbond: 0.3723, inactive: 0.0010, affinity: 0.0840, rank: 0.6999) | Validation Loss: 2.1982 (vdw: 0.2866, elec: 0.2499, solv: 0.0455, hbond: 0.4211, inactive: 0.0013, affinity: 0.1731, rank: 1.0208) | LR: 1.0e-04
Epoch 11 - Train Loss: 1.6491 (vdw: 0.2811, elec: 0.2583, solv: 0.0432, hbond: 0.3822, inactive: 0.0011, affinity: 0.0691, rank: 0.6141) | Validation Loss: 2.1315 (vdw: 0.2865, elec: 0.2497, solv: 0.0454, hbond: 0.4188, inactive: 0.0010, affinity: 0.1832, rank: 0.9468) | LR: 1.0e-04
