Epoch 1 - Train Loss: 2.1879 (vdw: 0.2939, elec: 0.2621, solv: 0.0431, hbond: 0.3860, inactive: 0.0010, affinity: 0.1446, rank: 1.0573) | Validation Loss: 2.0813 (vdw: 0.2813, elec: 0.2453, solv: 0.0438, hbond: 0.4087, inactive: 0.0010, affinity: 0.2677, rank: 0.8335) | LR: 1.0e-04
Epoch 2 - Train Loss: 1.8071 (vdw: 0.2818, elec: 0.2490, solv: 0.0414, hbond: 0.4050, inactive: 0.0010, affinity: 0.1480, rank: 0.6808) | Validation Loss: 2.1248 (vdw: 0.2813, elec: 0.2454, solv: 0.0438, hbond: 0.4069, inactive: 0.0011, affinity: 0.2471, rank: 0.8992) | LR: 1.0e-04
Epoch 3 - Train Loss: 1.7382 (vdw: 0.2763, elec: 0.2402, solv: 0.0418, hbond: 0.3814, inactive: 0.0010, affinity: 0.1122, rank: 0.6851) | Validation Loss: 2.0945 (vdw: 0.2813, elec: 0.2455, solv: 0.0441, hbond: 0.4066, inactive: 0.0009, affinity: 0.2662, rank: 0.8498) | LR: 1.0e-04
Epoch 4 - Train Loss: 1.8823 (vdw: 0.3049, elec: 0.2819, solv: 0.0430, hbond: 0.4331, inactive: 0.0010, affinity: 0.1174, rank: 0.7011) | Validation Loss: 2.1213 (vdw: 0.2815, elec: 0.2454, solv: 0.0441, hbond: 0.4081, inactive: 0.0010, affinity: 0.1882, rank: 0.9530) | LR: 1.0e-04
Epoch 5 - Train Loss: 1.7182 (vdw: 0.2992, elec: 0.2767, solv: 0.0427, hbond: 0.4118, inactive: 0.0010, affinity: 0.0871, rank: 0.5998) | Validation Loss: 2.0851 (vdw: 0.2813, elec: 0.2454, solv: 0.0444, hbond: 0.4123, inactive: 0.0008, affinity: 0.2061, rank: 0.8947) | LR: 1.0e-04
Epoch 6 - Train Loss: 1.7533 (vdw: 0.2856, elec: 0.2671, solv: 0.0423, hbond: 0.3978, inactive: 0.0010, affinity: 0.0943, rank: 0.6652) | Validation Loss: 2.0894 (vdw: 0.2814, elec: 0.2457, solv: 0.0440, hbond: 0.4076, inactive: 0.0011, affinity: 0.2314, rank: 0.8782) | LR: 1.0e-04
Epoch 7 - Train Loss: 1.7103 (vdw: 0.2894, elec: 0.2605, solv: 0.0439, hbond: 0.3807, inactive: 0.0010, affinity: 0.0909, rank: 0.6439) | Validation Loss: 2.2028 (vdw: 0.2813, elec: 0.2457, solv: 0.0440, hbond: 0.4095, inactive: 0.0010, affinity: 0.2146, rank: 1.0067) | LR: 1.0e-04
Epoch 8 - Train Loss: 1.6146 (vdw: 0.2801, elec: 0.2487, solv: 0.0425, hbond: 0.3851, inactive: 0.0009, affinity: 0.0711, rank: 0.5861) | Validation Loss: 2.1910 (vdw: 0.2813, elec: 0.2459, solv: 0.0441, hbond: 0.4095, inactive: 0.0009, affinity: 0.2016, rank: 1.0076) | LR: 1.0e-04
Epoch 9 - Train Loss: 1.6672 (vdw: 0.2993, elec: 0.2645, solv: 0.0435, hbond: 0.3961, inactive: 0.0010, affinity: 0.0642, rank: 0.5987) | Validation Loss: 2.1005 (vdw: 0.2813, elec: 0.2453, solv: 0.0436, hbond: 0.4088, inactive: 0.0010, affinity: 0.1894, rank: 0.9310) | LR: 1.0e-04
Epoch 10 - Train Loss: 1.7031 (vdw: 0.2867, elec: 0.2504, solv: 0.0420, hbond: 0.3859, inactive: 0.0010, affinity: 0.0669, rank: 0.6702) | Validation Loss: 2.1832 (vdw: 0.2814, elec: 0.2452, solv: 0.0437, hbond: 0.4081, inactive: 0.0010, affinity: 0.2049, rank: 0.9989) | LR: 1.0e-04
Epoch 11 - Train Loss: 1.6122 (vdw: 0.2986, elec: 0.2780, solv: 0.0428, hbond: 0.3724, inactive: 0.0010, affinity: 0.0619, rank: 0.5575) | Validation Loss: 2.1679 (vdw: 0.2814, elec: 0.2453, solv: 0.0441, hbond: 0.4141, inactive: 0.0009, affinity: 0.2190, rank: 0.9630) | LR: 1.0e-04
