Epoch 1 - Train Loss: 1.5605 (vdw: 0.2737, elec: 0.2424, solv: 0.0435, hbond: 0.3741, inactive: 0.0010, affinity: 0.0524, rank: 0.5733) | Validation Loss: 2.0594 (vdw: 0.2813, elec: 0.2452, solv: 0.0446, hbond: 0.4073, inactive: 0.0009, affinity: 0.1849, rank: 0.8951) | LR: 1.0e-04
Epoch 2 - Train Loss: 1.5333 (vdw: 0.2934, elec: 0.2617, solv: 0.0427, hbond: 0.3800, inactive: 0.0010, affinity: 0.0518, rank: 0.5029) | Validation Loss: 2.0464 (vdw: 0.2814, elec: 0.2456, solv: 0.0451, hbond: 0.4132, inactive: 0.0009, affinity: 0.2006, rank: 0.8595) | LR: 1.0e-04
Epoch 3 - Train Loss: 1.4699 (vdw: 0.2818, elec: 0.2468, solv: 0.0425, hbond: 0.3811, inactive: 0.0010, affinity: 0.0499, rank: 0.4667) | Validation Loss: 2.0549 (vdw: 0.2813, elec: 0.2455, solv: 0.0448, hbond: 0.4183, inactive: 0.0009, affinity: 0.2022, rank: 0.8618) | LR: 1.0e-04
Epoch 4 - Train Loss: 1.5653 (vdw: 0.3054, elec: 0.2721, solv: 0.0445, hbond: 0.3650, inactive: 0.0010, affinity: 0.0465, rank: 0.5309) | Validation Loss: 2.0503 (vdw: 0.2813, elec: 0.2451, solv: 0.0448, hbond: 0.4081, inactive: 0.0010, affinity: 0.2011, rank: 0.8689) | LR: 1.0e-04
Epoch 5 - Train Loss: 1.5058 (vdw: 0.2866, elec: 0.2560, solv: 0.0427, hbond: 0.3948, inactive: 0.0011, affinity: 0.0484, rank: 0.4762) | Validation Loss: 2.1433 (vdw: 0.2814, elec: 0.2454, solv: 0.0449, hbond: 0.4089, inactive: 0.0012, affinity: 0.1425, rank: 1.0191) | LR: 1.0e-04
Epoch 6 - Train Loss: 1.4823 (vdw: 0.2766, elec: 0.2426, solv: 0.0421, hbond: 0.3815, inactive: 0.0011, affinity: 0.0631, rank: 0.4753) | Validation Loss: 2.1662 (vdw: 0.2813, elec: 0.2453, solv: 0.0447, hbond: 0.4079, inactive: 0.0010, affinity: 0.2167, rank: 0.9693) | LR: 1.0e-04
Epoch 7 - Train Loss: 1.5176 (vdw: 0.2907, elec: 0.2756, solv: 0.0425, hbond: 0.3927, inactive: 0.0010, affinity: 0.0430, rank: 0.4721) | Validation Loss: 2.1197 (vdw: 0.2813, elec: 0.2468, solv: 0.0450, hbond: 0.4077, inactive: 0.0010, affinity: 0.1495, rank: 0.9884) | LR: 1.0e-04
Epoch 8 - Train Loss: 1.4839 (vdw: 0.2780, elec: 0.2389, solv: 0.0422, hbond: 0.3756, inactive: 0.0010, affinity: 0.0493, rank: 0.4989) | Validation Loss: 2.1141 (vdw: 0.2813, elec: 0.2452, solv: 0.0445, hbond: 0.4092, inactive: 0.0010, affinity: 0.1780, rank: 0.9548) | LR: 1.0e-04
Epoch 9 - Train Loss: 1.4828 (vdw: 0.2939, elec: 0.2549, solv: 0.0430, hbond: 0.3832, inactive: 0.0010, affinity: 0.0428, rank: 0.4641) | Validation Loss: 2.0584 (vdw: 0.2814, elec: 0.2452, solv: 0.0447, hbond: 0.4091, inactive: 0.0010, affinity: 0.1938, rank: 0.8832) | LR: 1.0e-04
Epoch 10 - Train Loss: 1.5398 (vdw: 0.3044, elec: 0.2690, solv: 0.0422, hbond: 0.3680, inactive: 0.0011, affinity: 0.0373, rank: 0.5178) | Validation Loss: 2.1160 (vdw: 0.2813, elec: 0.2452, solv: 0.0445, hbond: 0.4101, inactive: 0.0012, affinity: 0.1769, rank: 0.9568) | LR: 1.0e-04
Epoch 11 - Train Loss: 1.4938 (vdw: 0.2870, elec: 0.2625, solv: 0.0423, hbond: 0.3880, inactive: 0.0011, affinity: 0.0315, rank: 0.4815) | Validation Loss: 2.1407 (vdw: 0.2813, elec: 0.2452, solv: 0.0440, hbond: 0.4101, inactive: 0.0010, affinity: 0.1719, rank: 0.9871) | LR: 1.0e-04
Epoch 12 - Train Loss: 1.4697 (vdw: 0.2895, elec: 0.2552, solv: 0.0423, hbond: 0.3877, inactive: 0.0010, affinity: 0.0380, rank: 0.4558) | Validation Loss: 2.1210 (vdw: 0.2813, elec: 0.2453, solv: 0.0442, hbond: 0.4088, inactive: 0.0009, affinity: 0.1679, rank: 0.9725) | LR: 1.0e-04
Epoch 13 - Train Loss: 1.3995 (vdw: 0.2795, elec: 0.2476, solv: 0.0421, hbond: 0.3546, inactive: 0.0010, affinity: 0.0344, rank: 0.4402) | Validation Loss: 2.1076 (vdw: 0.2813, elec: 0.2455, solv: 0.0437, hbond: 0.4106, inactive: 0.0009, affinity: 0.1952, rank: 0.9305) | LR: 1.0e-04
Epoch 14 - Train Loss: 1.5102 (vdw: 0.3057, elec: 0.2693, solv: 0.0426, hbond: 0.3554, inactive: 0.0009, affinity: 0.0272, rank: 0.5091) | Validation Loss: 2.1490 (vdw: 0.2814, elec: 0.2452, solv: 0.0439, hbond: 0.4092, inactive: 0.0009, affinity: 0.1915, rank: 0.9768) | LR: 1.0e-04
Epoch 15 - Train Loss: 1.4664 (vdw: 0.2839, elec: 0.2477, solv: 0.0421, hbond: 0.3687, inactive: 0.0010, affinity: 0.0349, rank: 0.4881) | Validation Loss: 2.0932 (vdw: 0.2813, elec: 0.2452, solv: 0.0437, hbond: 0.4120, inactive: 0.0008, affinity: 0.1996, rank: 0.9105) | LR: 1.0e-04
Epoch 16 - Train Loss: 1.4781 (vdw: 0.2827, elec: 0.2454, solv: 0.0415, hbond: 0.3583, inactive: 0.0010, affinity: 0.0316, rank: 0.5176) | Validation Loss: 2.1456 (vdw: 0.2813, elec: 0.2454, solv: 0.0441, hbond: 0.4065, inactive: 0.0010, affinity: 0.1802, rank: 0.9871) | LR: 1.0e-04
Epoch 17 - Train Loss: 1.4211 (vdw: 0.2727, elec: 0.2404, solv: 0.0422, hbond: 0.3815, inactive: 0.0010, affinity: 0.0326, rank: 0.4508) | Validation Loss: 2.1621 (vdw: 0.2813, elec: 0.2458, solv: 0.0438, hbond: 0.4070, inactive: 0.0009, affinity: 0.2098, rank: 0.9735) | LR: 1.0e-04
Epoch 18 - Train Loss: 1.4373 (vdw: 0.2827, elec: 0.2548, solv: 0.0415, hbond: 0.3735, inactive: 0.0009, affinity: 0.0342, rank: 0.4497) | Validation Loss: 2.2193 (vdw: 0.2813, elec: 0.2451, solv: 0.0437, hbond: 0.4096, inactive: 0.0009, affinity: 0.1756, rank: 1.0631) | LR: 1.0e-04
Epoch 19 - Train Loss: 1.5323 (vdw: 0.3054, elec: 0.2749, solv: 0.0420, hbond: 0.3727, inactive: 0.0010, affinity: 0.0357, rank: 0.5007) | Validation Loss: 2.1570 (vdw: 0.2812, elec: 0.2459, solv: 0.0439, hbond: 0.4104, inactive: 0.0011, affinity: 0.1794, rank: 0.9951) | LR: 1.0e-04
Epoch 20 - Train Loss: 1.4434 (vdw: 0.2935, elec: 0.2629, solv: 0.0432, hbond: 0.3869, inactive: 0.0010, affinity: 0.0250, rank: 0.4309) | Validation Loss: 2.0845 (vdw: 0.2812, elec: 0.2452, solv: 0.0438, hbond: 0.4065, inactive: 0.0010, affinity: 0.1743, rank: 0.9325) | LR: 1.0e-04
Epoch 21 - Train Loss: 1.4234 (vdw: 0.2887, elec: 0.2494, solv: 0.0423, hbond: 0.4065, inactive: 0.0010, affinity: 0.0280, rank: 0.4075) | Validation Loss: 2.1806 (vdw: 0.2814, elec: 0.2456, solv: 0.0441, hbond: 0.4118, inactive: 0.0010, affinity: 0.1927, rank: 1.0039) | LR: 1.0e-04
Epoch 22 - Train Loss: 1.4684 (vdw: 0.2917, elec: 0.2576, solv: 0.0420, hbond: 0.3857, inactive: 0.0010, affinity: 0.0351, rank: 0.4551) | Validation Loss: 2.1197 (vdw: 0.2813, elec: 0.2450, solv: 0.0437, hbond: 0.4070, inactive: 0.0010, affinity: 0.1782, rank: 0.9635) | LR: 1.0e-04
Epoch 23 - Train Loss: 1.3967 (vdw: 0.2759, elec: 0.2509, solv: 0.0411, hbond: 0.4007, inactive: 0.0011, affinity: 0.0270, rank: 0.4000) | Validation Loss: 2.1463 (vdw: 0.2812, elec: 0.2454, solv: 0.0442, hbond: 0.4063, inactive: 0.0009, affinity: 0.1582, rank: 1.0100) | LR: 1.0e-04
Epoch 24 - Train Loss: 1.3868 (vdw: 0.2940, elec: 0.2552, solv: 0.0418, hbond: 0.3562, inactive: 0.0010, affinity: 0.0233, rank: 0.4153) | Validation Loss: 2.1169 (vdw: 0.2813, elec: 0.2452, solv: 0.0433, hbond: 0.4058, inactive: 0.0010, affinity: 0.1638, rank: 0.9765) | LR: 5.0e-05
