Epoch 1 - Train Loss: 2.2916 (vdw: 0.2829, elec: 0.2562, solv: 0.0516, hbond: 0.3919, inactive: 0.0011, affinity: 0.5127, rank: 0.7953) | Validation Loss: 2.2618 (vdw: 0.2865, elec: 0.2497, solv: 0.0421, hbond: 0.4180, inactive: 0.0010, affinity: 0.6589, rank: 0.6054) | LR: 2.0e-05
Epoch 2 - Train Loss: 2.3082 (vdw: 0.2835, elec: 0.2457, solv: 0.0497, hbond: 0.3821, inactive: 0.0011, affinity: 0.4436, rank: 0.9025) | Validation Loss: 2.6631 (vdw: 0.2865, elec: 0.2497, solv: 0.0426, hbond: 0.4189, inactive: 0.0011, affinity: 0.8148, rank: 0.8494) | LR: 4.0e-05
Epoch 3 - Train Loss: 2.2608 (vdw: 0.2867, elec: 0.2583, solv: 0.0501, hbond: 0.3702, inactive: 0.0010, affinity: 0.4870, rank: 0.8075) | Validation Loss: 2.1803 (vdw: 0.2866, elec: 0.2500, solv: 0.0425, hbond: 0.4260, inactive: 0.0009, affinity: 0.5359, rank: 0.6384) | LR: 6.0e-05
Epoch 4 - Train Loss: 2.2564 (vdw: 0.3047, elec: 0.2806, solv: 0.0511, hbond: 0.3734, inactive: 0.0010, affinity: 0.3250, rank: 0.9206) | Validation Loss: 2.1726 (vdw: 0.2864, elec: 0.2497, solv: 0.0429, hbond: 0.4276, inactive: 0.0007, affinity: 0.5175, rank: 0.6478) | LR: 8.0e-05
Epoch 5 - Train Loss: 2.0550 (vdw: 0.2812, elec: 0.2458, solv: 0.0520, hbond: 0.3740, inactive: 0.0010, affinity: 0.3162, rank: 0.7849) | Validation Loss: 2.1727 (vdw: 0.2866, elec: 0.2496, solv: 0.0433, hbond: 0.4223, inactive: 0.0011, affinity: 0.3894, rank: 0.7804) | LR: 1.0e-04
Epoch 6 - Train Loss: 2.1451 (vdw: 0.2950, elec: 0.2671, solv: 0.0523, hbond: 0.3832, inactive: 0.0013, affinity: 0.2254, rank: 0.9208) | Validation Loss: 2.1650 (vdw: 0.2866, elec: 0.2500, solv: 0.0448, hbond: 0.4212, inactive: 0.0013, affinity: 0.4710, rank: 0.6900) | LR: 1.0e-04
Epoch 7 - Train Loss: 1.9532 (vdw: 0.2826, elec: 0.2446, solv: 0.0531, hbond: 0.3710, inactive: 0.0012, affinity: 0.2533, rank: 0.7474) | Validation Loss: 2.1654 (vdw: 0.2864, elec: 0.2500, solv: 0.0447, hbond: 0.4226, inactive: 0.0009, affinity: 0.4787, rank: 0.6821) | LR: 1.0e-04
Epoch 8 - Train Loss: 2.0427 (vdw: 0.2918, elec: 0.2716, solv: 0.0561, hbond: 0.3775, inactive: 0.0010, affinity: 0.2250, rank: 0.8198) | Validation Loss: 2.1108 (vdw: 0.2865, elec: 0.2498, solv: 0.0457, hbond: 0.4170, inactive: 0.0012, affinity: 0.4575, rank: 0.6531) | LR: 1.0e-04
Epoch 9 - Train Loss: 2.0306 (vdw: 0.3041, elec: 0.2724, solv: 0.0541, hbond: 0.4695, inactive: 0.0011, affinity: 0.2070, rank: 0.7223) | Validation Loss: 2.1055 (vdw: 0.2864, elec: 0.2496, solv: 0.0453, hbond: 0.4228, inactive: 0.0009, affinity: 0.3486, rank: 0.7519) | LR: 1.0e-04
Epoch 10 - Train Loss: 1.8670 (vdw: 0.2878, elec: 0.2747, solv: 0.0553, hbond: 0.4239, inactive: 0.0010, affinity: 0.1231, rank: 0.7012) | Validation Loss: 2.1058 (vdw: 0.2864, elec: 0.2495, solv: 0.0453, hbond: 0.4233, inactive: 0.0010, affinity: 0.4261, rank: 0.6742) | LR: 1.0e-04
Epoch 11 - Train Loss: 1.7956 (vdw: 0.2931, elec: 0.2629, solv: 0.0553, hbond: 0.3885, inactive: 0.0010, affinity: 0.1392, rank: 0.6556) | Validation Loss: 2.0571 (vdw: 0.2864, elec: 0.2495, solv: 0.0449, hbond: 0.4257, inactive: 0.0010, affinity: 0.4230, rank: 0.6266) | LR: 1.0e-04
