Epoch 1 - Train Loss: 2.3308 (vdw: 0.2829, elec: 0.2561, solv: 0.0519, hbond: 0.3947, inactive: 0.0012, affinity: 0.5268, rank: 0.8171) | Validation Loss: 2.9832 (vdw: 0.2866, elec: 0.2497, solv: 0.0429, hbond: 0.4184, inactive: 0.0015, affinity: 0.9308, rank: 1.0533) | LR: 2.0e-04
Epoch 2 - Train Loss: 2.3899 (vdw: 0.2836, elec: 0.2459, solv: 0.0585, hbond: 0.3817, inactive: 0.0013, affinity: 0.5101, rank: 0.9087) | Validation Loss: 2.3414 (vdw: 0.2873, elec: 0.2516, solv: 0.0498, hbond: 0.4282, inactive: 0.0011, affinity: 0.6933, rank: 0.6302) | LR: 4.0e-04
Epoch 3 - Train Loss: 2.2425 (vdw: 0.2887, elec: 0.2597, solv: 0.0603, hbond: 0.3780, inactive: 0.0015, affinity: 0.4682, rank: 0.7861) | Validation Loss: 2.1614 (vdw: 0.2874, elec: 0.2507, solv: 0.0541, hbond: 0.4288, inactive: 0.0013, affinity: 0.4587, rank: 0.6804) | LR: 6.0e-04
Epoch 4 - Train Loss: 2.1863 (vdw: 0.3057, elec: 0.2822, solv: 0.0714, hbond: 0.3826, inactive: 0.0015, affinity: 0.2747, rank: 0.8682) | Validation Loss: 2.1630 (vdw: 0.2873, elec: 0.2499, solv: 0.0572, hbond: 0.4264, inactive: 0.0012, affinity: 0.3506, rank: 0.7904) | LR: 8.0e-04
Epoch 5 - Train Loss: 2.0169 (vdw: 0.2822, elec: 0.2466, solv: 0.0753, hbond: 0.3805, inactive: 0.0015, affinity: 0.2041, rank: 0.8267) | Validation Loss: 2.1604 (vdw: 0.2872, elec: 0.2501, solv: 0.0610, hbond: 0.4187, inactive: 0.0021, affinity: 0.3938, rank: 0.7474) | LR: 1.0e-03
Epoch 6 - Train Loss: 2.1300 (vdw: 0.2960, elec: 0.2680, solv: 0.0872, hbond: 0.3819, inactive: 0.0019, affinity: 0.2252, rank: 0.8697) | Validation Loss: 2.1500 (vdw: 0.2888, elec: 0.2516, solv: 0.0948, hbond: 0.4218, inactive: 0.0020, affinity: 0.3683, rank: 0.7227) | LR: 1.0e-03
Epoch 7 - Train Loss: 2.0514 (vdw: 0.2841, elec: 0.2460, solv: 0.0885, hbond: 0.3732, inactive: 0.0019, affinity: 0.2523, rank: 0.8055) | Validation Loss: 2.1681 (vdw: 0.2885, elec: 0.2507, solv: 0.0683, hbond: 0.4261, inactive: 0.0016, affinity: 0.5091, rank: 0.6238) | LR: 1.0e-03
Epoch 8 - Train Loss: 2.1541 (vdw: 0.2932, elec: 0.2736, solv: 0.0861, hbond: 0.3855, inactive: 0.0017, affinity: 0.3189, rank: 0.7949) | Validation Loss: 2.0895 (vdw: 0.2878, elec: 0.2513, solv: 0.0661, hbond: 0.4258, inactive: 0.0016, affinity: 0.3134, rank: 0.7434) | LR: 1.0e-03
Epoch 9 - Train Loss: 2.1679 (vdw: 0.3055, elec: 0.2749, solv: 0.0867, hbond: 0.4887, inactive: 0.0018, affinity: 0.2081, rank: 0.8021) | Validation Loss: 2.1658 (vdw: 0.2890, elec: 0.2523, solv: 0.0915, hbond: 0.4301, inactive: 0.0018, affinity: 0.2681, rank: 0.8331) | LR: 1.0e-03
Epoch 10 - Train Loss: 2.0236 (vdw: 0.2895, elec: 0.2751, solv: 0.0908, hbond: 0.4362, inactive: 0.0020, affinity: 0.1622, rank: 0.7679) | Validation Loss: 2.1330 (vdw: 0.2878, elec: 0.2509, solv: 0.0680, hbond: 0.4321, inactive: 0.0017, affinity: 0.3785, rank: 0.7138) | LR: 1.0e-03
Epoch 11 - Train Loss: 1.9972 (vdw: 0.2942, elec: 0.2644, solv: 0.0771, hbond: 0.3896, inactive: 0.0018, affinity: 0.1815, rank: 0.7886) | Validation Loss: 2.1338 (vdw: 0.2880, elec: 0.2506, solv: 0.0721, hbond: 0.4233, inactive: 0.0015, affinity: 0.3043, rank: 0.7940) | LR: 1.0e-03
Epoch 12 - Train Loss: 2.1057 (vdw: 0.3099, elec: 0.2809, solv: 0.0841, hbond: 0.4280, inactive: 0.0017, affinity: 0.1774, rank: 0.8237) | Validation Loss: 2.1400 (vdw: 0.2880, elec: 0.2510, solv: 0.0735, hbond: 0.4373, inactive: 0.0023, affinity: 0.3877, rank: 0.7002) | LR: 1.0e-03
Epoch 13 - Train Loss: 2.2650 (vdw: 0.2911, elec: 0.2639, solv: 0.0878, hbond: 0.3903, inactive: 0.0020, affinity: 0.1836, rank: 1.0463) | Validation Loss: 2.2547 (vdw: 0.2890, elec: 0.2514, solv: 0.0828, hbond: 0.4316, inactive: 0.0020, affinity: 0.2002, rank: 0.9979) | LR: 1.0e-03
Epoch 14 - Train Loss: 1.9697 (vdw: 0.2952, elec: 0.2692, solv: 0.0952, hbond: 0.3578, inactive: 0.0019, affinity: 0.1458, rank: 0.8047) | Validation Loss: 2.1766 (vdw: 0.2883, elec: 0.2515, solv: 0.0819, hbond: 0.4395, inactive: 0.0014, affinity: 0.3549, rank: 0.7591) | LR: 1.0e-03
Epoch 15 - Train Loss: 2.0069 (vdw: 0.2843, elec: 0.2537, solv: 0.0857, hbond: 0.3927, inactive: 0.0017, affinity: 0.1838, rank: 0.8048) | Validation Loss: 2.1698 (vdw: 0.2881, elec: 0.2516, solv: 0.0781, hbond: 0.4225, inactive: 0.0015, affinity: 0.2394, rank: 0.8886) | LR: 1.0e-03
Epoch 16 - Train Loss: 1.9301 (vdw: 0.2823, elec: 0.2451, solv: 0.0822, hbond: 0.3687, inactive: 0.0019, affinity: 0.1546, rank: 0.7953) | Validation Loss: 2.1445 (vdw: 0.2879, elec: 0.2508, solv: 0.0694, hbond: 0.4539, inactive: 0.0012, affinity: 0.2732, rank: 0.8082) | LR: 1.0e-03
Epoch 17 - Train Loss: 1.9775 (vdw: 0.3153, elec: 0.2859, solv: 0.0840, hbond: 0.3778, inactive: 0.0016, affinity: 0.1532, rank: 0.7596) | Validation Loss: 2.1038 (vdw: 0.2881, elec: 0.2513, solv: 0.0836, hbond: 0.4337, inactive: 0.0017, affinity: 0.1513, rank: 0.8940) | LR: 1.0e-03
Epoch 18 - Train Loss: 1.9973 (vdw: 0.3003, elec: 0.2733, solv: 0.0931, hbond: 0.4371, inactive: 0.0018, affinity: 0.1330, rank: 0.7587) | Validation Loss: 2.1132 (vdw: 0.2879, elec: 0.2518, solv: 0.0874, hbond: 0.4211, inactive: 0.0016, affinity: 0.3883, rank: 0.6752) | LR: 1.0e-03
Epoch 19 - Train Loss: 1.9713 (vdw: 0.2902, elec: 0.2721, solv: 0.0963, hbond: 0.3578, inactive: 0.0018, affinity: 0.2115, rank: 0.7416) | Validation Loss: 2.0775 (vdw: 0.2881, elec: 0.2563, solv: 0.0773, hbond: 0.4248, inactive: 0.0023, affinity: 0.3515, rank: 0.6771) | LR: 1.0e-03
Epoch 20 - Train Loss: 1.9905 (vdw: 0.2861, elec: 0.2606, solv: 0.0937, hbond: 0.3835, inactive: 0.0022, affinity: 0.1635, rank: 0.8010) | Validation Loss: 2.0231 (vdw: 0.2883, elec: 0.2521, solv: 0.0780, hbond: 0.4290, inactive: 0.0017, affinity: 0.2969, rank: 0.6770) | LR: 1.0e-03
Epoch 21 - Train Loss: 1.8532 (vdw: 0.2751, elec: 0.2450, solv: 0.0933, hbond: 0.4201, inactive: 0.0021, affinity: 0.1254, rank: 0.6922) | Validation Loss: 2.1501 (vdw: 0.2886, elec: 0.2542, solv: 0.0828, hbond: 0.4314, inactive: 0.0018, affinity: 0.3497, rank: 0.7415) | LR: 1.0e-03
