Epoch 1 - Train Loss: 7.4091 (enthalpy: 1.5219, entropy: 0.5770, affinity: 1.7984, rank: 3.5119) | Validation Loss: 4.4135 (enthalpy: 0.3711, entropy: 0.3151, affinity: 1.2388, rank: 2.4885) | LR: 5.0e-05
Epoch 2 - Train Loss: 2.9892 (enthalpy: 0.8472, entropy: 0.1669, affinity: 0.5622, rank: 1.4129) | Validation Loss: 0.8341 (enthalpy: 0.0405, entropy: 0.0064, affinity: 0.2173, rank: 0.5699) | LR: 1.0e-04
Epoch 3 - Train Loss: 2.5077 (enthalpy: 1.6123, entropy: 0.0108, affinity: 0.1881, rank: 0.6966) | Validation Loss: 0.8078 (enthalpy: 0.0405, entropy: 0.0080, affinity: 0.2013, rank: 0.5580) | LR: 1.0e-04
Epoch 4 - Train Loss: 2.1193 (enthalpy: 1.2608, entropy: 0.0120, affinity: 0.1797, rank: 0.6668) | Validation Loss: 0.7954 (enthalpy: 0.0405, entropy: 0.0130, affinity: 0.1523, rank: 0.5896) | LR: 1.0e-04
Epoch 5 - Train Loss: 2.0865 (enthalpy: 1.1192, entropy: 0.0145, affinity: 0.1692, rank: 0.7837) | Validation Loss: 0.8049 (enthalpy: 0.0405, entropy: 0.0118, affinity: 0.1447, rank: 0.6079) | LR: 1.0e-04
Epoch 6 - Train Loss: 2.1742 (enthalpy: 1.3555, entropy: 0.0133, affinity: 0.1419, rank: 0.6635) | Validation Loss: 0.7913 (enthalpy: 0.0405, entropy: 0.0113, affinity: 0.1532, rank: 0.5862) | LR: 1.0e-04
Epoch 7 - Train Loss: 1.4240 (enthalpy: 0.6313, entropy: 0.0138, affinity: 0.1263, rank: 0.6526) | Validation Loss: 0.7975 (enthalpy: 0.0405, entropy: 0.0166, affinity: 0.1257, rank: 0.6146) | LR: 1.0e-04
Epoch 8 - Train Loss: 1.6198 (enthalpy: 0.8398, entropy: 0.0161, affinity: 0.1092, rank: 0.6548) | Validation Loss: 0.7862 (enthalpy: 0.0406, entropy: 0.0079, affinity: 0.1950, rank: 0.5427) | LR: 1.0e-04
Epoch 9 - Train Loss: 1.9129 (enthalpy: 1.0270, entropy: 0.0140, affinity: 0.1687, rank: 0.7032) | Validation Loss: 0.7787 (enthalpy: 0.0406, entropy: 0.0095, affinity: 0.1471, rank: 0.5815) | LR: 1.0e-04
Epoch 10 - Train Loss: 2.5232 (enthalpy: 1.7219, entropy: 0.0130, affinity: 0.1416, rank: 0.6466) | Validation Loss: 0.8176 (enthalpy: 0.0407, entropy: 0.0201, affinity: 0.1064, rank: 0.6505) | LR: 1.0e-04
Epoch 11 - Train Loss: 2.3448 (enthalpy: 1.5885, entropy: 0.0187, affinity: 0.1225, rank: 0.6150) | Validation Loss: 0.7958 (enthalpy: 0.0405, entropy: 0.0152, affinity: 0.1314, rank: 0.6086) | LR: 1.0e-04
Epoch 12 - Train Loss: 16.4460 (enthalpy: 15.6134, entropy: 0.0157, affinity: 0.1168, rank: 0.7001) | Validation Loss: 0.7672 (enthalpy: 0.0406, entropy: 0.0109, affinity: 0.1409, rank: 0.5748) | LR: 1.0e-04
Epoch 13 - Train Loss: 2.0942 (enthalpy: 1.2954, entropy: 0.0163, affinity: 0.1285, rank: 0.6541) | Validation Loss: 0.8342 (enthalpy: 0.0406, entropy: 0.0175, affinity: 0.1125, rank: 0.6636) | LR: 1.0e-04
Epoch 14 - Train Loss: 1.4924 (enthalpy: 0.7738, entropy: 0.0168, affinity: 0.0875, rank: 0.6144) | Validation Loss: 0.7843 (enthalpy: 0.0405, entropy: 0.0157, affinity: 0.1313, rank: 0.5967) | LR: 1.0e-04
Epoch 15 - Train Loss: 2.0226 (enthalpy: 1.1949, entropy: 0.0172, affinity: 0.1275, rank: 0.6829) | Validation Loss: 0.7906 (enthalpy: 0.0405, entropy: 0.0143, affinity: 0.1350, rank: 0.6007) | LR: 1.0e-04
Epoch 16 - Train Loss: 1.9200 (enthalpy: 1.1687, entropy: 0.0189, affinity: 0.0982, rank: 0.6341) | Validation Loss: 0.8219 (enthalpy: 0.0406, entropy: 0.0085, affinity: 0.1836, rank: 0.5892) | LR: 1.0e-04
Epoch 17 - Train Loss: 2.0857 (enthalpy: 1.3838, entropy: 0.0152, affinity: 0.1243, rank: 0.5624) | Validation Loss: 0.8211 (enthalpy: 0.0407, entropy: 0.0146, affinity: 0.1200, rank: 0.6459) | LR: 1.0e-04
Epoch 18 - Train Loss: 2.0103 (enthalpy: 1.3462, entropy: 0.0194, affinity: 0.0939, rank: 0.5509) | Validation Loss: 0.8397 (enthalpy: 0.0408, entropy: 0.0171, affinity: 0.1272, rank: 0.6546) | LR: 1.0e-04
Epoch 19 - Train Loss: 1.6510 (enthalpy: 0.9206, entropy: 0.0179, affinity: 0.0791, rank: 0.6334) | Validation Loss: 0.8810 (enthalpy: 0.0408, entropy: 0.0183, affinity: 0.1199, rank: 0.7020) | LR: 1.0e-04
Epoch 20 - Train Loss: 1.4597 (enthalpy: 0.7133, entropy: 0.0224, affinity: 0.0942, rank: 0.6297) | Validation Loss: 0.8565 (enthalpy: 0.0408, entropy: 0.0209, affinity: 0.1094, rank: 0.6855) | LR: 1.0e-04
Epoch 21 - Train Loss: 1.7841 (enthalpy: 1.0924, entropy: 0.0219, affinity: 0.0716, rank: 0.5982) | Validation Loss: 0.8510 (enthalpy: 0.0410, entropy: 0.0168, affinity: 0.1213, rank: 0.6719) | LR: 1.0e-04
