Epoch 1 - Train Loss: 0.8881 (affinity: 0.1086, rank: 0.7795) | Validation Loss: 0.7438 (affinity: 0.1226, rank: 0.6212) | LR: 5.0e-06
Epoch 2 - Train Loss: 0.8172 (affinity: 0.1106, rank: 0.7066) | Validation Loss: 0.7358 (affinity: 0.1192, rank: 0.6166) | LR: 1.0e-05
Epoch 3 - Train Loss: 0.7931 (affinity: 0.1048, rank: 0.6883) | Validation Loss: 0.7282 (affinity: 0.1087, rank: 0.6195) | LR: 1.0e-05
Epoch 4 - Train Loss: 0.7967 (affinity: 0.1034, rank: 0.6932) | Validation Loss: 0.7258 (affinity: 0.0960, rank: 0.6299) | LR: 1.0e-05
Epoch 5 - Train Loss: 0.7810 (affinity: 0.0898, rank: 0.6912) | Validation Loss: 0.7226 (affinity: 0.0918, rank: 0.6308) | LR: 1.0e-05
Epoch 6 - Train Loss: 0.8225 (affinity: 0.0958, rank: 0.7268) | Validation Loss: 0.7279 (affinity: 0.1031, rank: 0.6248) | LR: 1.0e-05
Epoch 7 - Train Loss: 0.7331 (affinity: 0.0847, rank: 0.6484) | Validation Loss: 0.7297 (affinity: 0.0956, rank: 0.6341) | LR: 1.0e-05
Epoch 8 - Train Loss: 0.7139 (affinity: 0.0788, rank: 0.6351) | Validation Loss: 0.7335 (affinity: 0.0841, rank: 0.6494) | LR: 1.0e-05
Epoch 9 - Train Loss: 0.7046 (affinity: 0.0759, rank: 0.6287) | Validation Loss: 0.7414 (affinity: 0.1047, rank: 0.6366) | LR: 1.0e-05
Epoch 10 - Train Loss: 0.7102 (affinity: 0.0729, rank: 0.6373) | Validation Loss: 0.7403 (affinity: 0.0796, rank: 0.6607) | LR: 1.0e-05
Epoch 11 - Train Loss: 0.6913 (affinity: 0.0652, rank: 0.6261) | Validation Loss: 0.7343 (affinity: 0.0866, rank: 0.6477) | LR: 1.0e-05
Epoch 12 - Train Loss: 0.6868 (affinity: 0.0638, rank: 0.6231) | Validation Loss: 0.7516 (affinity: 0.0895, rank: 0.6621) | LR: 1.0e-05
Epoch 13 - Train Loss: 0.6792 (affinity: 0.0652, rank: 0.6140) | Validation Loss: 0.7647 (affinity: 0.0892, rank: 0.6755) | LR: 1.0e-05
Epoch 14 - Train Loss: 0.6610 (affinity: 0.0572, rank: 0.6038) | Validation Loss: 0.7622 (affinity: 0.0888, rank: 0.6733) | LR: 1.0e-05
Epoch 15 - Train Loss: 0.6363 (affinity: 0.0542, rank: 0.5821) | Validation Loss: 0.7886 (affinity: 0.0836, rank: 0.7050) | LR: 1.0e-05
Epoch 16 - Train Loss: 0.5997 (affinity: 0.0465, rank: 0.5532) | Validation Loss: 0.8104 (affinity: 0.0869, rank: 0.7235) | LR: 1.0e-05
Epoch 17 - Train Loss: 0.6306 (affinity: 0.0455, rank: 0.5851) | Validation Loss: 0.8159 (affinity: 0.0866, rank: 0.7293) | LR: 5.0e-06
Epoch 18 - Train Loss: 0.5776 (affinity: 0.0390, rank: 0.5386) | Validation Loss: 0.8314 (affinity: 0.0862, rank: 0.7452) | LR: 5.0e-06
Epoch 19 - Train Loss: 0.6170 (affinity: 0.0426, rank: 0.5744) | Validation Loss: 0.8077 (affinity: 0.0855, rank: 0.7222) | LR: 5.0e-06
Epoch 20 - Train Loss: 0.5897 (affinity: 0.0422, rank: 0.5475) | Validation Loss: 0.8320 (affinity: 0.0889, rank: 0.7431) | LR: 5.0e-06
Epoch 21 - Train Loss: 0.5776 (affinity: 0.0376, rank: 0.5399) | Validation Loss: 0.8316 (affinity: 0.0853, rank: 0.7463) | LR: 5.0e-06
Epoch 22 - Train Loss: 0.5778 (affinity: 0.0394, rank: 0.5383) | Validation Loss: 0.8403 (affinity: 0.0879, rank: 0.7524) | LR: 5.0e-06
Epoch 23 - Train Loss: 0.5757 (affinity: 0.0373, rank: 0.5384) | Validation Loss: 0.8661 (affinity: 0.0905, rank: 0.7756) | LR: 5.0e-06
Epoch 24 - Train Loss: 0.5729 (affinity: 0.0358, rank: 0.5371) | Validation Loss: 0.8717 (affinity: 0.0910, rank: 0.7807) | LR: 5.0e-06
Epoch 25 - Train Loss: 0.5702 (affinity: 0.0384, rank: 0.5318) | Validation Loss: 0.8539 (affinity: 0.0933, rank: 0.7606) | LR: 5.0e-06
Epoch 26 - Train Loss: 0.5511 (affinity: 0.0328, rank: 0.5183) | Validation Loss: 0.8561 (affinity: 0.0874, rank: 0.7687) | LR: 5.0e-06
Epoch 27 - Train Loss: 0.5574 (affinity: 0.0333, rank: 0.5241) | Validation Loss: 0.8847 (affinity: 0.0922, rank: 0.7925) | LR: 5.0e-06
Epoch 28 - Train Loss: 0.5462 (affinity: 0.0277, rank: 0.5186) | Validation Loss: 0.8768 (affinity: 0.0907, rank: 0.7861) | LR: 2.5e-06
Epoch 29 - Train Loss: 0.5360 (affinity: 0.0297, rank: 0.5062) | Validation Loss: 0.8876 (affinity: 0.0934, rank: 0.7943) | LR: 2.5e-06
Epoch 30 - Train Loss: 0.5299 (affinity: 0.0260, rank: 0.5038) | Validation Loss: 0.8924 (affinity: 0.0958, rank: 0.7966) | LR: 2.5e-06
Epoch 31 - Train Loss: 0.5236 (affinity: 0.0272, rank: 0.4964) | Validation Loss: 0.8870 (affinity: 0.0929, rank: 0.7942) | LR: 2.5e-06
Epoch 32 - Train Loss: 0.5209 (affinity: 0.0261, rank: 0.4948) | Validation Loss: 0.8868 (affinity: 0.0918, rank: 0.7950) | LR: 2.5e-06
Epoch 33 - Train Loss: 0.5306 (affinity: 0.0259, rank: 0.5047) | Validation Loss: 0.8843 (affinity: 0.0933, rank: 0.7910) | LR: 2.5e-06
